,Normalized_LunchADP,Normalized_FreeRedcElig,Normalized_LunchTotal,clusters
126,0.0,0.0,0.0,1
127,0.0,0.0,0.0,1
128,0.0,0.0,0.0,1
129,0.0,0.0,0.0,1
130,0.0,0.0,0.0,1
131,0.0,0.0,0.0,1
132,0.0,0.0,0.0,1
134,78.84057971014492,90.57971014492753,788.4057971014494,0
136,0.0,0.0,0.0,1
137,0.0,0.0,0.0,1
138,0.0,0.0,0.0,1
139,0.0,0.0,0.0,1
140,0.0,0.0,0.0,1
142,0.0,0.0,0.0,1
146,0.0,0.0,0.0,1
183,12.166666666666668,35.833333333333336,12.166666666666668,1
198,51.659459459459455,67.56756756756756,361.6216216216216,1
199,57.959349593495936,73.98373983739837,405.6910569105691,1
200,57.506329113924046,74.68354430379746,402.53164556962025,1
205,0.0,0.0,0.0,1
206,0.0,0.0,0.0,1
210,67.26086956521739,100.0,1008.6956521739131,0
214,68.3076923076923,100.0,1024.6153846153845,0
215,67.79752066115702,100.0,1016.9421487603305,0
217,18.36813186813187,32.417582417582416,128.57142857142858,1
218,15.593406593406591,32.967032967032964,327.4725274725275,1
219,49.874251497005986,36.52694610778443,349.10179640718565,1
220,59.22500000000001,39.375,1243.75,0
221,40.214285714285715,46.42857142857143,281.4935064935065,1
